date,long_liq,short_liq,liq_imbalance,open_interest,funding_rate,long_short_ratio,volume,trade_count,target_return
2023-01-19,60.80799999999995,151.11299999999994,-90.305,105068.19,0.01,0.8037518037518038,374709.2249995449,729523,0.07299369909677722
2023-01-20,78.40000000000002,323.4649999999991,-245.0649999999991,98669.816,0.01,0.76772140710624,723621.282000903,1288133,0.005119397523328573
2023-01-21,150.03799999999995,221.81499999999988,-71.77699999999993,95498.698,0.01,0.8331805682859763,764668.345001215,1561362,-0.003326783518994958
2023-01-22,105.04300000000016,182.04599999999988,-77.00299999999972,94282.088,0.01,0.8355359765051396,478856.8459991929,1001246,0.009142992475146272
2023-01-23,74.22600000000006,209.95499999999996,-135.7289999999999,92121.03,0.01,1.0036064916850331,525770.6379988826,1082331,-0.012450835212588274
2023-01-24,210.257,99.79400000000004,110.46299999999997,92273.666,0.01,0.9837333862328904,505612.2229990659,1001700,0.018736119160646325
2023-01-25,139.68400000000014,351.73399999999964,-212.0499999999995,85901.005,0.01,1.037905033625433,692650.496000425,1431837,-0.002226584082814398
2023-01-26,83.65499999999999,104.41600000000012,-20.761000000000134,88639.93,0.01,1.158428663932657,427755.7179992361,936942,0.0027996835390577957
2023-01-27,118.06400000000012,144.43199999999993,-26.36799999999981,90134.357,0.01,1.247696111485727,509895.7989990768,1011501,-0.0022370345118361
2023-01-28,46.09900000000003,18.895999999999997,27.203000000000035,90402.879,0.01,1.0824656393169512,186388.63599977957,499160,0.03078192520585077
2023-01-29,50.568,264.5450000000001,-213.9770000000001,103276.927,0.01,1.2123893805309731,562015.0909991448,1283636,-0.03935145882331703
2023-01-30,218.66099999999983,105.57800000000006,113.08299999999976,93416.196,0.01,0.8501387604070306,572526.7469993301,1270931,0.013013096440888106
2023-01-31,79.79700000000003,101.99800000000003,-22.201000000000008,97518.537,0.01,1.246686137946529,403674.7549990584,899965,0.025932253556534945
2023-02-01,91.80200000000008,166.06099999999984,-74.25899999999976,100274.534,0.01,1.0924879681941828,571356.7699990248,1276071,-0.010322486493569372
2023-02-02,191.41700000000012,150.6430000000002,40.77399999999992,97798.206,0.01,0.8331805682859763,615728.156999955,1379588,-0.0024313302190961394
2023-02-03,87.61400000000017,92.93400000000014,-5.319999999999965,96641.073,0.01,1.007628990162618,470775.2279984827,1076790,-0.004493712909869885
2023-02-04,49.69800000000005,40.30200000000001,9.396000000000043,98604.731,0.01,1.310536044362292,197115.44299974357,501684,-0.01703163213982073
2023-02-05,105.59900000000012,49.24200000000003,56.357000000000085,102608.5,0.01,1.4015369836695484,356661.4849991754,785981,-0.007457673107037266
