date,long_liq,short_liq,liq_imbalance,open_interest,funding_rate,long_short_ratio,volume,trade_count
2025-08-31,38.168999999999976,26.94700000000004,11.221999999999937,89829.187,0.01,2.299241174529858,70149.02499999109,598240
2025-09-01,74.47000000000011,62.86299999999996,11.607000000000156,88445.913,0.004963,2.1545741324921135,148996.48799999335,1370006
2025-09-02,46.54599999999999,53.37299999999996,-6.82699999999997,89267.156,0.006356,2.015681544028951,175902.6059999905,1505191
2025-09-03,23.31799999999999,48.192999999999984,-24.874999999999993,90303.24,0.002344,1.5188916876574305,105437.76899999408,978065
2025-09-04,56.42200000000005,43.136,13.286000000000044,88082.451,0.007941,1.3832221163012393,122280.09299999345,1056669
2025-09-05,47.38700000000005,53.95800000000001,-6.570999999999962,87251.178,0.007872,1.7203482045701852,178610.04199999172,1456872
2025-09-06,14.964999999999996,3.5609999999999973,11.404,86987.646,0.00511,1.774694783573807,46281.95599999447,431260
2025-09-07,7.833999999999993,15.231999999999998,-7.398000000000004,88886.037,0.006969,1.9112081513828238,53834.66999998965,451583
2025-09-08,27.77100000000001,45.503,-17.73199999999999,91249.639,0.007311,1.6716537536735239,99099.05599999438,841195
2025-09-09,67.04000000000002,19.05000000000001,47.99000000000001,92138.716,0.01,1.4003840614498322,136800.28599999164,1031917
2025-09-10,23.300000000000033,56.15799999999998,-32.85799999999995,93800.856,0.01,1.796420581655481,144077.31099999457,1070214
2025-09-11,12.365999999999993,54.651000000000025,-42.28500000000003,92642.997,0.003326,1.1240441801189465,105546.95899999546,891754
2025-09-12,19.153,181.78100000000012,-162.62800000000013,91689.104,0.006891,1.022653721682848,118834.78899999164,899200
2025-09-13,17.212000000000007,12.561999999999989,4.650000000000018,89213.358,0.003137,0.9872813990461049,52498.35499999323,455733
2025-09-14,37.58899999999994,15.436999999999992,22.15199999999995,87745.057,0.003115,1.038320423970648,55083.23299999239,469142
2025-09-15,38.615999999999985,23.00599999999999,15.609999999999996,88349.349,0.008189,1.0807324178110693,117238.349999995,981369
2025-09-16,18.367999999999995,21.98799999999999,-3.619999999999994,90736.267,0.006472,1.1767522855899,99414.1029999947,811876
2025-09-17,46.611999999999966,52.84899999999999,-6.237000000000023,87438.143,0.006303,0.9091256204658266,150552.14499999591,1251497
2025-09-18,13.582000000000011,37.237000000000045,-23.655000000000033,91077.328,0.004208,1.2099447513812154,107120.06199999062,887367
2025-09-19,69.41500000000009,5.316999999999998,64.0980000000001,90126.561,0.005264,0.9406171162429652,88087.24699999572,672329
2025-09-20,8.205999999999989,7.868999999999995,0.3369999999999935,89154.222,-0.001006,1.2522522522522523,32349.880000006633,285993
