date,vol_regime,macro_signal,macro_regime,tradable
2021-06-06,1.0,0.1123302653431892,0,1
2021-06-07,1.0,0.1837206780910492,0,1
2021-06-08,1.0,0.172659546136856,0,1
2021-06-09,1.0,0.0894305855035781,0,1
2021-06-10,1.0,0.0178124420344829,0,1
2021-06-11,1.0,-0.0115336328744888,1,0
2021-06-12,1.0,-0.0407018586993217,1,0
2021-06-13,1.0,-0.0974191948771476,1,0
2021-06-14,1.0,-0.1581332683563232,1,0
2021-06-15,1.0,-0.18391814827919,1,0
2021-06-16,1.0,-0.1756187677383422,1,0
2021-06-17,1.0,-0.153014600276947,1,0
2021-06-18,1.0,-0.1197531148791313,1,0
2021-06-19,1.0,-0.0735996067523956,1,0
2021-06-20,1.0,-0.0126378759741783,1,0
2021-06-21,1.0,0.0375409610569477,0,1
2021-06-22,1.0,0.0564408861100673,0,1
2021-06-23,1.0,0.0515048317611217,0,1
2021-06-24,1.0,0.0428342074155807,0,1
2021-06-25,1.0,0.0347905568778514,0,1
2021-06-26,1.0,0.0223543718457222,0,1
2021-06-27,1.0,0.0049316883087158,0,1
2021-06-28,1.0,-0.0118528269231319,1,0
2021-06-29,1.0,-0.0242492407560348,1,0
2021-06-30,1.0,-0.0316962152719497,1,0
2021-07-01,1.0,-0.0335840135812759,1,0
2021-07-02,1.0,-0.0196958854794502,1,0
2021-07-03,1.0,-0.0145560577511787,1,0
2021-07-04,1.0,-0.0173066779971122,1,0
2021-07-05,1.0,-0.0214378759264946,1,0
2021-07-06,1.0,-0.0228910595178604,1,0
2021-07-07,1.0,-0.0247558429837226,1,0
2021-07-08,1.0,-0.0274912789463996,1,0
2021-07-09,1.0,-0.042786031961441,1,0
2021-07-10,1.0,-0.0545938685536384,1,0
2021-07-11,1.0,-0.0642227604985237,1,0
2021-07-12,1.0,-0.0644833594560623,1,0
2021-07-13,1.0,-0.05433040112257,1,0
2021-07-14,1.0,-0.0409200862050056,1,0
2021-07-15,1.0,0.0009339265525341,0,1
2021-07-16,1.0,0.0403220504522323,0,1
2021-07-17,1.0,0.0702879726886749,0,1
2021-07-18,1.0,0.1094443351030349,0,1
2021-07-19,1.0,0.1663078069686889,0,1
2021-07-20,1.0,0.2323075532913208,0,1
2021-07-21,1.0,0.2596623599529266,0,1
2021-07-22,1.0,0.2500456571578979,0,1
2021-07-23,1.0,0.2227984368801117,0,1
2021-07-24,1.0,0.1757926344871521,0,1
2021-07-25,1.0,0.108241505920887,0,1
2021-07-26,1.0,0.040830984711647,0,1
2021-07-27,1.0,0.0011455826461315,0,1
2021-07-28,1.0,-0.0072021409869194,1,0
2021-07-29,1.0,0.0062862560153007,0,1
2021-07-30,1.0,0.0277034882456064,0,1
2021-07-31,1.0,0.0594328939914703,0,1
2021-08-01,1.0,0.1063811928033828,0,1
2021-08-02,1.0,0.1570990085601806,0,1
2021-08-03,1.0,0.1740089952945709,0,1
2021-08-04,1.0,0.1435368061065673,0,1
2021-08-05,1.0,0.1134650111198425,0,1
2021-08-06,1.0,0.1040511131286621,0,1
2021-08-07,1.0,0.0903731435537338,0,1
2021-08-08,1.0,0.0552744418382644,0,1
2021-08-09,1.0,0.0232911966741085,0,1
2021-08-10,1.0,0.0143377222120761,0,1
2021-08-11,1.0,0.02487238869071,0,1
2021-08-12,1.0,0.0401353165507316,0,1
2021-08-13,1.0,0.0516478531062603,0,1
2021-08-14,1.0,0.0514697097241878,0,1
2021-08-15,1.0,0.0617948733270168,0,1
2021-08-16,1.0,0.0781279802322387,0,1
2021-08-17,1.0,0.0854298621416091,0,1
2021-08-18,1.0,0.0760430097579956,0,1
2021-08-19,1.0,0.052771795541048,0,1
2021-08-20,1.0,0.0178248658776283,0,1
2021-08-21,1.0,-0.0083846449851989,1,0
2021-08-22,1.0,-0.0229501649737358,1,0
2021-08-23,1.0,-0.0254053547978401,1,0
2021-08-24,1.0,-0.0217993780970573,1,0
2021-08-25,1.0,-0.0158178508281707,1,0
2021-08-26,1.0,0.0003533251583576,0,1
2021-08-27,1.0,0.0299600325524806,0,1
2021-08-28,1.0,0.0660588890314102,0,1
2021-08-29,1.0,0.0814032405614852,0,1
2021-08-30,1.0,0.0631657764315605,0,1
2021-08-31,1.0,0.0259495750069618,0,1
2021-09-01,1.0,-0.0203439071774482,1,0
2021-09-02,1.0,-0.0495976507663726,1,0
2021-09-03,1.0,-0.0843424275517463,1,0
2021-09-04,1.0,-0.1023111268877983,1,0
2021-09-05,1.0,-0.0948302373290062,1,0
2021-09-06,1.0,-0.0737153068184852,1,0
2021-09-07,1.0,-0.0466135069727897,1,0
2021-09-08,1.0,-0.0167419239878654,1,0
2021-09-09,1.0,0.0186626464128494,0,1
2021-09-10,1.0,0.0520802214741706,0,1
2021-09-11,1.0,0.0624763444066047,0,1
2021-09-12,1.0,0.0281906425952911,0,1
2021-09-13,1.0,-0.0275776907801628,1,0
2021-09-14,1.0,-0.0643580183386802,1,0
2021-09-15,1.0,-0.0757289305329322,1,0
2021-09-16,1.0,-0.0713596940040588,1,0
2021-09-17,1.0,-0.0658674612641334,1,0
2021-09-18,1.0,-0.0675458535552024,1,0
2021-09-19,1.0,-0.0618876293301582,1,0
2021-09-20,1.0,-0.0480501130223274,1,0
2021-09-21,1.0,-0.0396937951445579,1,0
2021-09-22,1.0,-0.0188640877604484,1,0
2021-09-23,1.0,0.0100591704249382,0,1
2021-09-24,1.0,0.0406557768583297,0,1
2021-09-25,1.0,0.0714754462242126,0,1
2021-09-26,1.0,0.1044396013021469,0,1
2021-09-27,1.0,0.1490224599838256,0,1
2021-09-28,1.0,0.2138532400131225,0,1
2021-09-29,1.0,0.2665750682353973,0,1
2021-09-30,1.0,0.2606640160083771,0,1
2021-10-01,1.0,0.2029204964637756,0,1
2021-10-02,1.0,0.1605064272880554,0,1
2021-10-03,1.0,0.1496860682964325,0,1
2021-10-04,1.0,0.1543346941471099,0,1
2021-10-05,1.0,0.1403484344482422,0,1
2021-10-06,1.0,0.1200424507260322,0,1
2021-10-07,1.0,0.1063997894525528,0,1
2021-10-08,1.0,0.1091210022568702,0,1
2021-10-09,1.0,0.1188080906867981,0,1
2021-10-10,1.0,0.1258507370948791,0,1
2021-10-11,1.0,0.1271770894527435,0,1
2021-10-12,1.0,0.1185805574059486,0,1
2021-10-13,1.0,0.1074853241443634,0,1
2021-10-14,1.0,0.0709020867943763,0,1
2021-10-15,1.0,0.0439851656556129,0,1
2021-10-16,1.0,0.0203778371214866,0,1
2021-10-17,1.0,-0.0033532902598381,1,0
2021-10-18,1.0,-0.0246893092989921,1,0
2021-10-19,1.0,-0.0395753160119056,1,0
2021-10-20,1.0,-0.0401491448283195,1,0
2021-10-21,1.0,-0.0273443236947059,1,0
2021-10-22,1.0,-0.0069624409079551,1,0
2021-10-23,1.0,0.0061785168945789,0,1
2021-10-24,1.0,0.0126318037509918,0,1
2021-10-25,1.0,0.0145689994096755,0,1
2021-10-26,1.0,0.0142750218510627,0,1
2021-10-27,1.0,0.0133923441171646,0,1
2021-10-28,1.0,0.0125434212386608,0,1
2021-10-29,1.0,0.0114551074802875,0,1
2021-10-30,1.0,0.0142578408122062,0,1
2021-10-31,1.0,0.0230174157768487,0,1
2021-11-01,1.0,0.0330776572227478,0,1
2021-11-02,1.0,0.0480732694268226,0,1
2021-11-03,1.0,0.0508074760437011,0,1
2021-11-04,1.0,0.0460057258605957,0,1
2021-11-05,1.0,0.0336940586566925,0,1
2021-11-06,1.0,0.0109034031629562,0,1
2021-11-07,1.0,-0.0142856016755104,1,0
2021-11-08,1.0,-0.0370075479149818,1,0
2021-11-09,1.0,-0.0603635385632514,1,0
2021-11-10,1.0,-0.0815625116229057,1,0
2021-11-11,1.0,-0.1013707146048545,1,0
2021-11-12,1.0,-0.1025240942835807,1,0
2021-11-13,1.0,-0.0889001712203025,1,0
2021-11-14,1.0,-0.0867523476481437,1,0
2021-11-15,1.0,-0.0717024728655815,1,0
2021-11-16,1.0,-0.0587194934487342,1,0
2021-11-17,1.0,-0.0488813072443008,1,0
2021-11-18,1.0,-0.0471978113055229,1,0
2021-11-19,1.0,-0.0463233366608619,1,0
2021-11-20,1.0,-0.0413700267672538,1,0
2021-11-21,1.0,-0.0304107144474983,1,0
2021-11-22,1.0,-0.016181468963623,1,0
2021-11-23,1.0,-0.0081445798277854,1,0
2021-11-24,1.0,-0.0074576660990715,1,0
2021-11-25,1.0,-0.0141265913844108,1,0
2021-11-26,1.0,-0.0317906215786933,1,0
2021-11-27,1.0,-0.1017248705029487,1,0
2021-11-28,1.0,-0.1198059096932411,1,0
2021-11-29,1.0,-0.1210899874567985,1,0
2021-11-30,1.0,-0.1294447183609008,1,0
2021-12-01,1.0,-0.1252549290657043,1,0
2021-12-02,1.0,-0.1093012914061546,1,0
2021-12-03,1.0,-0.0645202174782753,1,0
2021-12-04,1.0,-0.039859615266323,1,0
2021-12-05,1.0,-0.0292107239365577,1,0
2021-12-06,1.0,-0.030882216989994,1,0
2021-12-07,1.0,-0.0223991200327873,1,0
2021-12-08,1.0,0.0045828483998775,0,1
2021-12-09,1.0,0.0111182145774364,0,1
2021-12-10,1.0,-0.0173396691679954,1,0
2021-12-11,1.0,-0.0334449410438537,1,0
2021-12-12,1.0,-0.0342727676033973,1,0
2021-12-13,1.0,-0.0245456770062446,1,0
2021-12-14,1.0,-0.0146654471755027,1,0
2021-12-15,1.0,0.0034859329462051,0,1
2021-12-16,1.0,0.032349307090044,0,1
2021-12-17,1.0,0.0599967017769813,0,1
2021-12-18,1.0,0.0738637521862983,0,1
2021-12-19,1.0,0.0648398771882057,0,1
2021-12-20,1.0,0.0338389351963996,0,1
2021-12-21,1.0,-0.0118833482265472,1,0
2021-12-22,1.0,-0.0483496859669685,1,0
2021-12-23,1.0,-0.0650270730257034,1,0
2021-12-24,1.0,-0.0690670982003212,1,0
2021-12-25,1.0,-0.0665599107742309,1,0
2021-12-26,1.0,-0.0608866587281227,1,0
2021-12-27,1.0,-0.0557246357202529,1,0
2021-12-28,1.0,-0.0531302392482757,1,0
2021-12-29,1.0,-0.0569032803177833,1,0
2021-12-30,1.0,-0.06654042750597,1,0
2021-12-31,1.0,-0.0900434628129005,1,0
2022-01-01,1.0,-0.1177994534373283,1,0
2022-01-02,1.0,-0.1158430203795433,1,0
2022-01-03,1.0,-0.0958389714360237,1,0
2022-01-04,1.0,-0.0636508986353874,1,0
2022-01-05,1.0,-0.0278695225715637,1,0
2022-01-06,1.0,-0.0008526146411895,1,0
2022-01-07,1.0,0.022906593978405,0,1
2022-01-08,1.0,0.0350356623530387,0,1
2022-01-09,1.0,0.0338358581066131,0,1
2022-01-10,1.0,0.0223926752805709,0,1
2022-01-11,1.0,-0.0044471845030784,1,0
2022-01-12,1.0,-0.0336915925145149,1,0
2022-01-13,1.0,-0.0546032935380935,1,0
2022-01-14,1.0,-0.1075820550322532,1,0
2022-01-15,1.0,-0.1378014981746673,1,0
2022-01-16,1.0,-0.1472173333168029,1,0
2022-01-17,1.0,-0.1392762064933776,1,0
2022-01-18,1.0,-0.1235736384987831,1,0
2022-01-19,1.0,-0.1165527179837226,1,0
2022-01-20,1.0,-0.0816240683197975,1,0
2022-01-21,1.0,-0.0240038707852363,1,0
2022-01-22,1.0,0.0365980602800846,0,1
2022-01-23,1.0,0.0680016428232193,0,1
2022-01-24,1.0,0.0598854944109916,0,1
2022-01-25,1.0,0.0432117283344268,0,1
2022-01-26,1.0,0.0365762375295162,0,1
2022-01-27,1.0,0.0406176149845123,0,1
2022-01-28,1.0,0.0547519922256469,0,1
2022-01-29,1.0,0.0801021456718444,0,1
2022-01-30,1.0,0.1093482375144958,0,1
2022-01-31,1.0,0.1340234875679016,0,1
2022-02-01,1.0,0.1531220972537994,0,1
2022-02-02,1.0,0.1613842546939849,0,1
