date,future_ret,signal_1,signal_1_missing,signal_2,signal_2_missing,signal_3,signal_3_missing,signal_4,signal_4_missing,signal_6,signal_6_missing,direction
2018-05-26,0.0006858504818678,-0.009402746,0,0.0,1,0.0,1,-1.1385566,0,0.0,1,1
2018-05-27,-0.0327006849716378,-0.0037052552,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-28,0.0510339484434427,-0.018943433,0,0.0,1,0.0,1,0.6725563,0,0.0,1,1
2018-05-29,-0.0114363602004479,0.019988019,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-05-30,0.0147845161850119,0.002016813,0,0.0,1,0.0,1,-0.48743457,0,0.0,1,1
2018-05-31,0.0048096128128085,0.014980271,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-01,0.0158250022270944,0.0015654543,0,0.0,1,0.0,1,0.87528586,0,0.0,1,1
2018-06-02,0.0097159304348282,-0.0054064523,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-03,-0.0294597278287224,-0.003623683,0,0.0,1,0.0,1,-0.9205786,0,0.0,1,0
2018-06-04,0.0184319487110993,-0.010071869,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-05,0.0044380327868853,0.0073410613,0,0.0,1,0.0,1,1.1486045,0,0.0,1,1
2018-06-06,0.0042095147568039,-0.0006448226,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-07,-0.0113950186449758,0.0029162008,0,0.0,1,0.0,1,-0.32902706,0,0.0,1,0
2018-06-08,-0.0146920341319192,-0.009730919,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-06-09,-0.097005631543048,-0.0153806,0,0.0,1,0.0,1,0.6662296,0,0.0,1,0
2018-06-10,0.015818205200599,-0.017098274,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-11,-0.04976717112922,-0.006843864,0,0.0,1,0.0,1,-0.47956097,0,0.0,1,0
2018-06-12,-0.0363277182235834,-0.028336272,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-06-13,0.0545386935503862,-0.018084873,0,0.0,1,0.0,1,0.8617387,0,0.0,1,1
2018-06-14,-0.0372333852724089,0.015590665,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-06-15,0.0148820610746764,-0.019771907,0,0.0,1,0.0,1,-0.92777,0,0.0,1,1
2018-06-16,-0.0053007566340426,0.007577899,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-06-17,0.0407544022041643,-0.00037593208,0,0.0,1,0.0,1,0.8383933,0,0.0,1,1
2018-06-18,0.0042830795267307,0.0143085085,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-19,0.0030113288267239,0.0044747987,0,0.0,1,0.0,1,-0.114108846,0,0.0,1,1
2018-06-20,-0.0063107205343185,-0.009777248,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-06-21,-0.1002911216817189,-0.0045451242,0,0.0,1,0.0,1,1.3300294,0,0.0,1,0
2018-06-22,0.0173664185277087,-0.035198975,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-23,-0.0021154540339967,0.00074348063,0,0.0,1,0.0,1,-0.7100898,0,0.0,1,0
2018-06-24,0.0187437774667302,-0.00086787995,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-25,-0.0289859245041587,0.0009258876,0,0.0,1,0.0,1,0.9019922,0,0.0,1,0
2018-06-26,0.0103693429839328,-0.017744131,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-27,-0.0456084633656844,0.00838135,0,0.0,1,0.0,1,-0.50762314,0,0.0,1,0
2018-06-28,0.0587531901373084,-0.025100201,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-06-29,0.031002336267651,0.028129477,0,0.0,1,0.0,1,0.76247054,0,0.0,1,1
2018-06-30,-0.0052049508064855,0.0062315413,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-07-01,0.0406619043199338,-0.0073164883,0,0.0,1,0.0,1,-1.0938942,0,0.0,1,1
2018-07-02,-0.0153326611531769,0.0146847265,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-07-03,0.0112252949863829,-0.014005627,0,0.0,1,0.0,1,0.7815098,0,0.0,1,1
2018-07-04,-0.0087718499221191,0.010596923,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-07-05,0.0123414813453408,-0.007978866,0,0.0,1,0.0,1,-0.5693052,0,0.0,1,1
2018-07-06,0.0222700301674185,0.0021022114,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-07-07,-0.0066420205476409,0.0021978996,0,0.0,1,0.0,1,0.6804619,0,0.0,1,0
2018-07-08,-0.007446253780486,-0.012655911,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-07-09,-0.0548188864805797,-0.004305552,0,0.0,1,0.0,1,-0.7174301,0,0.0,1,0
2018-07-10,0.01288886136216,-0.02050922,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-07-11,-0.0199903732633853,-0.0049976474,0,0.0,1,0.0,1,1.1092511,0,0.0,1,0
